id,name_ko,name_en,description,ingredients,category,spicy_level,image_url
27,묵밥,Chilled Acorn Jelly and Rice Soup,"Acorn jelly is known to be an easily digestible food that is ideal for those trying to lose weight. This dish features a small amount of rice topped with acorn jelly, cucumber kimchi, and crushedseaweed served with soup that can be added at the table.",,밥 [Bap],,
28,밥,Steamed Rice,"Regular short grain rice cooked until soft, moist, and glossy. It is easy to digest and goes well with any banchan (side dish), which is likely why it is the central and staple dish of every Korean meal.",,밥 [Bap],,
29,보리밥,Steamed Barley Rice,"This dish, cooked with rice or barley alone, is easy to digest and effective in preventing various health conditions. It becomes a delicacy when mixed with yeolmu kimchi (young summer radish kimchi) or gochujang (red chili paste) or served with green peppers and doenjang, a traditional Korean soybean paste.",,밥 [Bap],,
30,불고기덮밥,Bulgogi with Rice,Pan-fried bulgogi served over steamed rice. The sauce and vegetables make bulgogi ideal for mixing with rice.,,밥 [Bap],,
31,비빔밥,Bibimbap,Rice topped with sautéed beef and a variety of colorful vegetables that is mixed at the table with spicy gochujang. A hint of sesame oil helps bring out the flavor.,,밥 [Bap],,
32,산채비빔밥,Wild Vegetable Bibimbap,"A version of bibimbap topped with wild vegetables that grow in the mountains. Mixed at the table with spicy gochujang, it is a fragrant dish filled with the flavor of wild mountainvegetables.",,밥 [Bap],,
33,삼선비빔밥,Three-delicacy Bibimbap,"Samseon refers to delicacies characterized by attractive colors, aromas, and flavors. This dish consists of bibimbap topped with sea cucumber, abalone, and grilled beef brisket, along with fresh vegetables and ripe persimmon.",,밥 [Bap],,
34,새싹비빔밥,Sprout Bibimbap,"This dish is a bowl of rice topped with beef and sprouts served with marinade. Rich in various nutrients and vitamins, this dish features a variety of sprouts, which are known to be good for digestion.",,밥 [Bap],,
35,새우볶음밥,Shrimp Fried Rice,"Fried rice with peeled shrimp and finely chopped vegetables and seasoned with salt, soy sauce, and pepper. The dish is loved for the tender texture and flavor of the shrimp.",,밥 [Bap],,
36,샐러드김밥,Salad Gimbap,"A type of gimbap with a filling of sliced lettuce, paprika, and sprouts, salad gimbap is especially popular among women due to its use of fresh vegetables and their crispy texture.",,밥 [Bap],,
37,소고기국밥,Beef and Rice Soup,"This dish is made by boiling cow leg bones to make a clear broth. The bones are then removed, and the beef brisket is thinly sliced from the bone. Rice is added to the broth, topped with slices of beef brisket, and served with kkakdugi (diced radish kimchi).",,밥 [Bap],,
38,소고기김밥,Beef Gimbap,"Gimbap that features ground beef stir-fried with soybean sauce, in addition to the basic ingredients, making it both delicious and nutritious.",,밥 [Bap],,
39,소머리국밥,Beef Head Meat and Rice Soup,"For this dish, a cow’s head and leg bones are simmered for over 10 hours in an iron pot to make a soup. Next, the meat from the cow’s head and vegetables, including radish, outer cabbage leaves, and taro shoots, are simmered and seasoned with sauce. This dish is served with kkakdugi (cubed radish kimchi) or cabbage kimchi.",,밥 [Bap],,
40,송어덮밥,Stir-fried Trout with Rice,"Consisting of fried rice topped with grilled trout and served with spicy gochugang and julienned green onion and garlic, this dish features trout caught in the East Sea.",,밥 [Bap],,
41,순대국밥,Blood Sausage and Rice Soup,"This dish consists of sundae, which is steamed pig intestines stuffed with seasoned, minced vegetables, and rice with soup. Perilla seeds, ginger, and a variety of medicinal herbs are boiled with the sundae to remove any unpleasant meat smell.",,밥 [Bap],,
42,쌈밥,Leaf Wraps and Rice,"Steamed rice wrapped in leafy vegetables or seaweed with seasoned sauce. Lettuce, perilla leaves, Korean cabbage, squash leaves, cabbage, dried laver, brown seaweed, or kelp may beused as the wraps.",,밥 [Bap],,
43,알밥,Fish Roe Rice,"Warm rice topped with raw fish roe, thin slices of danmuji (yellow pickled radish), julienned cucumber and carrot, and chopped kimchi and served in a heated ttukbaegi (earthen pot) greased with sesame oil. The way the fish eggs pop when chewed makes this dish unique and fun to eat.",,밥 [Bap],,
44,양푼비빔밥,Large Brass Bowl Bibimbap,Cooked rice topped with a variety of vegetables and sautéed beef and mixed with gochujang (red chili paste).This dish is served in a brass bowl large enough for several people to eat together.,,밥 [Bap],,
