id,name_ko,name_en,description,ingredients,category,spicy_level,image_url
166,매생잇국,Seaweed Fulvescens Soup,"Seaweed fulvescens is pollution-free seaweed grown only in clean water in the winter. For this dish, fry oysters and minced garlic together and then add the tasty green seaweed and some water and bring to a boil. Season with soy sauce to taste.",,국 [Guk],,
167,무된장국,Radish Soybean Paste Soup,"This is a doenjang (soybean paste)-based soup boiled with radish. On Jeju Island, it is made by adding garlic scapes  to an anchovy- or beef-based stock. It is a refreshing soup with a deep flavor.",,국 [Guk],,
168,미역국,Seaweed Soup,"Miyeok (brown seaweed) simmered in clear beef, mussel, or anchovy broth. Miyeok is rich in iodine and calcium and is known to be particularly beneficial for postpartum mothers, which is one reason Koreans eat Miyeokguk on birthdays as well as for other meals.",,국 [Guk],,
169,미역냉국,Chilled Seaweed Soup,"Popular in summer, this dish is prepared with brown seaweed soaked in cold water and julienned cucumber in a cold broth seasoned with soy sauce and vinegar.",,국 [Guk],,
170,바지락술국,Baby Clam Soup Accompaniment to Alcoholic Drinks,"Baby clams boiled with other ingredients, such as oysters, cabbage, zucchini, and mushrooms. The refreshing flavor of baby clam broth and the rich and unique flavor of oysters go well together. Baby clams are rich in hangover-fighting nutrients.",,국 [Guk],,
171,바지락조갯국,Clam Soup,"This is a soybean soup featuring cleaned baby clams and radish. Bean curd, chili pepper, and other ingredients may be added according to one’s preference. Using a seafood stock produces a richer, deeper flavor.",,국 [Guk],,
172,배추된장국,Cabbage Soybean Paste Soup,This dish is a doenjang (soybean paste) soup made with tender cabbage heart leaves. The fiber-rich heart leaves of cabbage taste sweet and help prevent constipation.,,국 [Guk],,
173,버섯육개장,Spicy Mushroom and Beef Soup,"Yukgaejang is a spicy beef soup boiled with mushroom, radish, taro shoot, green onion, and bracken and seasoned with spicy red chili powder. The mushroom version of this dish features various types of mushrooms, including shiitake, oyster, and enokitake.",,국 [Guk],,
174,복국,Puffer Soup,"A clear soup made by boiling puffer bones and vegetables and then adding puffer, water parsley, and bean sprouts and boiling again. Seasoned with salt and vinegar, depending on one’s taste, this dish is an effective hangover remedy. ",,국 [Guk],,
175,북엇국,Dried Pollack Soup,"A clear fish soup made with dried pollack. The dried flesh is shredded and sautéed in sesame oil before water is added. A beaten egg is sometimes dropped into the boiling soup. It is reputed to be one of the best hangover remedies, as it helps remove alcohol from the body.",,국 [Guk],,
176,사골우거지해장국,Korean Cabbage Hangover Soup,This is ugeoji (dried Korean cabbage leaves) boiled in beef bone stock. It is a spicy soup widely popular across Korea as a hangover remedy.,,국 [Guk],,
177,선짓국,Beef Blood Soup,"This dish is made with seonji simmered with beef bone, bean sprout, radish, and other vegetables and seasoned with doenjang (soybean paste). It is a popular hangover remedy in Korea.",,국 [Guk],,
178,섭국,Mussel Soup,"This mussel soup is prepared by boiling mussels with chive, mushroom, and egg and seasoning with soybean and chili pepper paste. Seop is the word for “mussel” in the dialect of Gangwon Province. Yangyang and Sokcho, in particular, are noted for their diverse mussel dishes.",,국 [Guk],,
179,소고기뭇국,Beef and Radish Soup,"This clear soup has a savory and slightly sweet flavor. Made by boiling beef with radish, this soup is especially delicious in winter, when radishes are at their peak.",,국 [Guk],,
180,소고기미역국,Beef and Seaweed Soup,"This dish is prepared by simmering miyeok (brown seaweed) in beef broth. Rich in iodine and calcium, miyeok is known to be especially good for postnatal mothers. Koreans celebrate birthdays by eating miyeok soup in the morning.",,국 [Guk],,
181,소고기육개장,Spicy Beef Soup,"A spicy beef soup featuring shredded beef boiled with radish, taro shoot, and green onion, this dish used to be consumed mainly during the hottest days of summer, but it is no longer associated with a specific season.",,국 [Guk],,
182,순댓국,Blood Sausage Soup,Sundae refers to pork intestines stuffed with various ingredients and steamed. Sundae soup is a pork-based broth boiled with sundae and pork organs. A spicy sauce or leek may be added according to one’s taste.,,국 [Guk],,
183,시금치된장국,Spinach Soybean Paste Soup,"A doenjang (soybean paste) soup with spinach, this dish is made by boiling mushroom, clams, and bean curd in anchovy or rice water broth. It goes well with rice, the Korean staple.",,국 [Guk],,
184,시래기된장국,Dried Radish Leaf Soybean Paste Soup,"Made by mixing siraegi (radish greens) with soybean paste and boiling in broth, this dish is rich in vitamins and iron, making it both delicious and healthy.",,국 [Guk],,
185,쑥된장국,Mugwort Soybean Paste Soup,"This dish is a doenjang (soybean paste) soup with mugwort. An appetite stimulant with a unique fragrance, young mugwort is known to be effective in preventing spring fever.",,국 [Guk],,
186,아욱국,Curled Mallow Soup,This soup is prepared by boiling dried shrimp and curled mallow in rice water mixed with soybean paste and red chili paste. There is an old saying that curled mallow harvested in fall is so delicious that no one wants to share it with others.,,국 [Guk],,
187,어묵국,Fishcake Soup,"Made by boiling fishcake and radish seasoned with soy sauce in broth, this dish is characterized by a sweet taste that has made it one of the most popular snacks in Korea, along with spicy tteokbokki.",,국 [Guk],,
188,오이냉국,Chilled Cucumber Soup,"This dish is prepared with julienned, seasoned cucumber in a cool broth made with soy sauce, garlic, and vinegar. It is a popular summer dish.",,국 [Guk],,
189,오징엇국,Squid Soup,"This spicy soup is made by boiling squid with diced radish and then adding red chili powder, chives, and minced garlic.",,국 [Guk],,
190,올갱잇국,Melanian Snail Soup,"Doenjang (soybean paste) soup made by boiling melanian snails in water and adding doenjang and rice water to make a broth, to which deshelled melanian snails, garlic chives, red chili powder, and chopped garlic and green onion are then added and boiled. This is a popular hangover remedy and liver detox. ",,국 [Guk],,
191,우거지된장국,Korean Cabbage Soybean Paste Soup,Soybean paste soup boiled with ugeoji (dried outer leaves of Korean cabbage) in a beef bone or anchovy-based broth.,,국 [Guk],,
192,우거지해장국,Korean Cabbage Hangover Soup,"Made by boiling ugeoji (dried outer leaves of Korean cabbage) in a beef bone broth, this is a spicy hangover remedy commonly consumed the day after a night of heavy drinking.",,국 [Guk],,
193,우렁된장국,Freshwater Snail Soybean Paste Soup,Soybean paste soup boiled with deshelled freshwater snails. Spinach or curled mallow may be added according to one’s taste.,,국 [Guk],,
194,육개장,Spicy Beef Soup,"A soup made of beef brisket, radishchive, taro stems, andfiddleheads, and seasoned with red chili powder to make it spicy.",,국 [Guk],,
195,재첩국,Freshwater Marsh Clam Soup,"This soup is prepared by boiling deshelled jaecheop (freshwater marsh clams) with chopped thread scallions or chives in an Asian clam-based broth. Jaecheop are harvested mostly in the Seomjingang River area, which has led jaecheop soup to become a popular local specialty inthe nearby Hadong area.",,국 [Guk],,
196,초당순두부,Chodang Soft Bean Curd,"Sundubu is fresh bean curd that has not been strained or pressed to remove excess water. Chodangsundubu is particularly silky and savory, as it is made by coagulating soy milk with mineral-rich seawater.",,국 [Guk],,
197,콩나물국,Bean Sprout Soup,"This clear soup is made with bean sprouts boiled in water. Seasoned only with salt, Kongnamulguk (bean sprout soup) is known to be effective for easing a cold or a hangover. Add red chili powder if you prefer a spicy soup. Warning: To avoid a fishy smell, do not lift the lid of the pot until the bean sprouts are completely cooked.",,국 [Guk],,
198,콩나물해장국,Bean Sprout Hangover Soup,"Made with bean sprout and seasoned with salted shrimp, this dish is known to be effective in providing relief for cold symptoms and hangovers.",,국 [Guk],,
199,토란국,Taro Soup,"This clear soup is made by boiling taro root with beef and radish and is eaten during the Chuseok (Korean Thanksgiving) holidays. To remove its acrid flavor and slimy texture, taro root should be cooked in salted rice water.",,국 [Guk],,
200,해장국,Hangover Soup ,"This dish is often referred to as sulguk (literally “alcohol soup”). It can be made with various ingredients, such as bean sprouts, dried pollack, pork bones, and ugeoji (dried Korean cabbage).",,국 [Guk],,
201,홍합미역국,Mussel and Seaweed Soup,"This hearty soup is prepared by boiling brown seaweed and mussels sautéed with sesame oil in a pot and seasoned with soy sauce. A specialty of Gyeongsang Province, this soup tastes even more savory than its beef variation.",,국 [Guk],,
202,황태해장국,Dried Pollack Hangover Soup ,"The pollack used in this dish has had its innards and salt removed and been dried for three to four months through the winter in a cold alpine region. To prepare, tear the dried pollack into pieces and boil with clams, mushroom, bean sprouts, bean curd, and radish in broth.",,국 [Guk],,
203,갈낙탕,Short Rib and Octopus Soup,"A clear short rib soup boiled with octopus, this dish is high in energy and characterized by the chewy texture of the octopus and short rib and the deep flavor of the broth.",,탕 [Tang],,
204,갈비탕,Short Rib Soup,"Beef ribs, soaked in cold water to remove the blood, and white radish chunks simmered together until tender. The clear stock is rich and savory, and the tender meat falls off the bone. (Glass noodles may be added.)",,탕 [Tang],,
205,감자탕,Pork Back-bone Stew,"A thick soup made of pig backbones, potato, green cabbage leaves (ugeoji), crushed perilla seeds, perilla leaves, spring onions, and garlic. A spicy dish with a deep and robust flavor.",,탕 [Tang],,
206,곰탕,Beef Bone Soup,"A thick soup made of beef, shank bones, and knucklebones gently simmered for hours. Rich in protein and calcium, gomtang (beef bone soup) is a great restorative food for postpartum mothers and elderly patients.",,탕 [Tang],,
207,광어매운탕,Spicy Flatfish Stew,"To make this dish, flatfish is boiled with vegetables and bean curd and seasoned with red chili powder sauce. Flatfish is the most popular ingredient in the spicy fish stews of Korea.",,탕 [Tang],,
208,굴탕,Oyster Soup,"For this dish, boil radish, mushroom, and other vegetables together, add fresh oysters, and bring to a boil. This soup has a deep and savory flavor and serves as an effective hangover remedy.",,탕 [Tang],,
209,꼬리곰탕,Oxtail Soup,"One of the best energy-boosting dishes in Korea, this soup is made by simmering oxtail for a long period of time. The meat on the oxtail bone is chewy and flavorful.",,탕 [Tang],,
210,꽃게탕,Spicy Blue Crab Stew,"This dish is a soup made with blue crab meat boiled with radish, young pumpkin, onion, and red chili powder.The fresh taste of the soup and sweet crab meat is simply irresistible.",,탕 [Tang],,
211,내장탕,Offal Soup,"Made by boiling cow’s (or pig’s) intestines, this soup is considered an energy-boosting food. Due to their unique odor, the intestines should be carefully cleaned before cooking.",,탕 [Tang],,
212,닭곰탕,Chicken Soup,"For this dish, boil a whole chicken in water to make a chicken broth and take the chicken out and remove the meat from the bones. Season the chicken meat and simmer in the broth for a long time. This high-energy, low-calorie food is great for women and seniors in the summer.",,탕 [Tang],,
213,대구맑은탕,Codfish Soup,"This soup is made by boilingbean curd, shiitake mushroom, and water parsley, and then adding cleaned codfish and bringing all ingredients to a boil. It is then seasoned with rice wine and salted to taste. To add fragrance, crown daisy is added just before serving.",,탕 [Tang],,
214,대구매운탕,Spicy Codfish Stew,"This spicy codfish stew is made with fresh codfish, radish, red chili, and gochujang (red chili paste), and has a deep, hearty taste. The non-spicy version has a fresh, mild flavor.",,탕 [Tang],,
215,대합탕,Hard Clam Soup,"This clear soup is made by boiling cleaned hard clams and adding a dash of salt. Collected mostly along the west coast of Korea, daehap is considered a premium shellfish, comparable to abalone, and is popular for its refreshing taste.",,탕 [Tang],,
216,도가니탕,Ox Knee Soup,"Made with slow-cooked oxknee cartilage, doganitang (ox knee soup)is particularly healthy and rich in calcium and, therefore, especially good for children, expecting mothers, and elderly people. The boiled ox-knee cartilage is sliced and served with soy sauce, and the thick broth is served with rice.",,탕 [Tang],,
217,도미맑은탕,Sea Bream Soup ,"Cleaned sea bream boiled with radish in anchovy-based broth and seasoned with chopped garlic, water parsley, crown daisy, green pepper, and salt. ",,탕 [Tang],,
218,도미매운탕,Spicy Sea Bream Stew,"Cleaned sea bream cut into pieces and boiled with water parsley, crown daisy, onion, radish, green pepper, chopped garlic, zucchini, and bean curd in water with red chili powder and gochujang (red chili paste). ",,탕 [Tang],,
219,동태탕,Pollack Soup,"This is a spicy soup made by boiling frozen pollack with bean curd, radish, crown daisy, and other vegetables and seasoning with red chili powder. Its spiciness makes it an ideal food for winter. However, a non-spicy version can be made by omitting the red chili powder, depending on one’s preference.",,탕 [Tang],,
220,뚜거리탕,Spicy Floating Goby Stew,This is Spicy Floating Goby Stew boiled with green pepper and gochujang. It is a high-energy food reputed to be even more savory than chueotang (loach stew).,,탕 [Tang],,
221,뚝배기불고기,Hot Pot Bulgogi,Soy-marinated bulgogi cooked with broth in an earthenware pot.Glass noodles may be added.,,탕 [Tang],,
222,롤삼계탕,Rolled Ginseng Chicken Soup,"This is a roll featuring deboned, seasoned chicken with glutinous rice, jujubes, chestnuts, gingko, and fresh ginseng. The chicken roll is tied off with a string and boiled in a broth. The roll is then sliced into pieces and served with soup.",,탕 [Tang],,
223,매운탕,Spicy Fish Stew,"A traditional fish stew seasoned generously with red chili powder or gochujang. The fish most commonly used here are haddock, rock cod, and pollack.",,탕 [Tang],,
224,메기매운탕,Spicy Catfish Stew,"To prepare this spicy soup, catfish is boiled with radish, crown daisy, sesame leaf, and water parsley and seasoned with gochujang (red chili paste). Pieces of hand-torn flour dough or ramen noodles can be added as well, depending upon one’s preference.",,탕 [Tang],,
225,민어탕,Croaker Stew,"This dish is prepared by boiling croaker with zucchini and other vegetables. Croaker reaches its peak in summer, which is why it is often enjoyed in summer as an energy-boosting food.",,탕 [Tang],,
226,버섯들깨탕,Mushroom and Perilla Seed Stew,"This is a hick stew made by boiling mushrooms and perilla seeds in broth. After research showed that perilla seeds help lower cholesterol and blood sugar and improves in health, this dish became popular in both Japan and Korea.",,탕 [Tang],,
227,복맑은탕,Puffer Fish Soup,"This soup is prepared by bringing puffer fish bones, water parsley, and bean sprouts to a boil. Puffer fish is best from October to early March as it puts on fat and becomes less toxic at that time.",,탕 [Tang],,
228,복매운탕,Spicy Puffer Fish Stew,"Bokmaeuntang (spicy pufferfish stew) is made by placing parboiled Korean cabbage and radish in a pot and boiling with other ingredients, including broth, cleaned pufferfish, bean curd, gochujang, and red chili powder. It is an excellent dish for easing a hangover.",,탕 [Tang],,
229,사골우거지갈비탕,Korean Cabbage and Short Rib Soup,This short rib soup is made with beef bone broth and ugeoji (dried outer leaves of Korean cabbage) seasoned with doenjang (soybean paste).Both the beef bone broth and ugeoji add a savory depth to the dish.,,탕 [Tang],,
230,삼계탕,Ginseng Chicken Soup,"Tender, whole, young chicken stuffed with ginseng, jujubes, sweet rice, and whole garlic cloves and simmered until tender. The combination of chicken and ginseng creates a complex yet harmonious flavor. This is a classic summertime dish that revitalizes the body and soul.",,탕 [Tang],,
231,생태탕,Pollack Soup,"Spicy saengtae (fresh pollack) soup made with fresh pollack, bean curd, radish, crown daisy, and other vegetables and seasoned with red chili powder.",,탕 [Tang],,
232,설렁탕,Ox Bone Soup,"A savory soup made of ox bones and innards. Hours, and sometimes days, of slow simmering produces the milky white broth and concentrated flavor",,탕 [Tang],,
233,쏘가리매운탕,Spicy Mandarin Fish Stew,"This isa spicy mandarin fish stew boiled withvegetables and seasoned with gochujangand red pepper powder. Mandarin fish is widely believed to be the best freshwaterfish for use in a spicy stew, because it has a clear taste without the fishy smell.",,탕 [Tang],,
234,아귀탕,Monkfish Soup,"Monkfish boiled with bean sprout and Korean parsley. In the past, monkfish was not consumed due to its ugly appearance, but it has now become popular thanks to its chewy texture.",,탕 [Tang],,
235,알탕,Spicy Fish Roe Soup,"Fish roe is rich in essential amino acids, such as glutamic acid and lysine, and vitamin A, and helps maintain healthy eyes and skin.",,탕 [Tang],,
236,양곰탕,Beef Tripe Soup,A nourishing soup made with yang (cow’s first stomach) simmered until the broth becomes cloudy and boiled with radish. The yang is cleaned by pouring hot water over it to remove the black membrane and boiled or grilled.,,탕 [Tang],,
237,어묵꼬치,Skewered Fishcake Soup,"Fishcakes threaded on skewers boiled in broth made with radish, kelp, and anchovies. Skewered fishcakes in the hot soup are served with a dipping sauce.",,탕 [Tang],,
238,연포탕,Bean Curd Soup,"This is a soup featuring boiled and pan-fried bean curd, chicken, shitake mushroom, and kelp. In Yeongam,South Jeollanam Province, yeonpotang boiled with a whole, seasoned octopus is quite popular.",,탕 [Tang],,
239,영양한우갈비탕,Nutritious Korean Beef Rib Soup,"This dish is a beef rib soup made with minced beef rib meat wrapped with parboiled burdock root and cut into bite-sized pieces in seasoned beef stock, along with chestnuts and shitake mushroom.",,탕 [Tang],,
240,왕갈비탕,Beef Rib Soup,This hearty and nutritious soup is made by simmering large beef ribs until tender and seasoning with chopped green onion and salt.,,탕 [Tang],,
241,용봉탕,"Carp, Softshell Turtle, and Chicken Soup","A clear soup boiled with carp or softshell turtle and chicken. Other ingredients, such as octopus, beef, abalone, and sea cucumber, can be added. This soup is considered an energy-boosting dish.",,탕 [Tang],,
242,우거지갈비탕,Korean Cabbage and Short Rib Soup,Korean cabbage leaves slowly simmered in a beef rib stock and seasoned with doenjang (soybean paste). Ugeoji refers to the green outer layer of Korean cabbage or other leafy vegetables.,,탕 [Tang],,
243,우럭매운탕,Spicy Rockfish Stew,"For this dish, rockfish is cut into pieces and boiled with vegetables and spicy seasoning. Rockfish is popular as a side dish with alcohol, as it is fatty and has a pleasingly savory taste.",,탕 [Tang],,
244,우족탕,Ox Feet Soup,Ox feett simmered for a long period of time and seasoned with salt and pepper. Chopped green onion is added as a garnish. The thick broth and chewy texture of the ox feet are especially appealing.,,탕 [Tang],,
245,장어탕,Eel Soup,"Eel simmered until tender and seasoned with doenjang (soybean paste) and red chili powder. This eel soup, a popular summer delicacy, can be made thicker and more flavorful by adding perilla seeds or agastache leaves.",,탕 [Tang],,
246,전복삼계탕,Abalone and Ginseng Chicken Soup,"A soup prepared by simmering a whole young chicken with abalone, ginseng, jujubes, chestnuts, glutinous rice, and garlic until the meat becomes tender. The abalone offal makes the soup even more savory.",,탕 [Tang],,
247,조개탕,Clam Soup,"Popular as a hangover remedy,Jogaetang is a clear soup made by boiling clams, including Asian clams and shortneckedclams, in water. The clams areprepared by soaking in salted water to purge the sand. Julienned green onions are addedat the table.",,탕 [Tang],,
248,조기매운탕,Spicy Yellow Croaker Stew,This spicy soup is made by boiling radish and yellow croaker in water seasoned with a gochujang (red chili paste) sauce. Crown daisy is added before serving.,,탕 [Tang],,
249,참게매운탕,Spicy Hairy Crab Stew,"Purged crabs boiled with zucchini, siraegi (radish greens), green onion, perilla seed powder, and soy sauce in water with doenjang (soybean paste) and gochujang (red chili paste). Korean pepper may also be added according to one’s preference. ",,탕 [Tang],,
250,초계탕,Cold Chicken Soup,This is a chicken soup flavored with vinegar and mustard and topped with shredded chicken. It is a low-calorie meal often served with buckwheat noodles.,,탕 [Tang],,
251,추어탕,Loach Soup,"This dish is a soup prepared by purging sand out of live loach by boiling in salted water. The boiled and cleaned loach is then ground in a blender and brought to a boil again with various ingredients, such as chive, dried radish greens, and gochujang. It is a popular health food in Korea.",,탕 [Tang],,
252,콩비지탕,Pureed Soybean Soup,Kongbiji (pureed soybean) boiled with ugeoji (dried outer leaves of Korean cabbage) and seasoned with salt and salted shrimp.,,탕 [Tang],,
253,콩탕,Soybean Soup,"This dish is a watery Soybean Soup made by boiling soybean soup with a mixture of finely ground soybeanpowder mixed with cold water until it curdles like sundubu (soft bean curd). Chopped vegetables are then added and brought to a boil, with or without rice. Serve with sauce.",,탕 [Tang],,
254,통추어탕,Whole Loach Soup,"Whole loaches boiled with vegetables. Live loaches are prepared and washed with salt first, and then with flour. It is an energy-boosting dish with a thick and flavorful broth.",,탕 [Tang],,
255,해물탕,Spicy Seafood Stew,"A spicy stew made of fish, blue crab, baby octopus, shrimp, and other seafood. It is seasoned with red chili powder sauce, giving it a hot, zesty flavor.",,탕 [Tang],,
256,홍어탕,Skate Soup,"Skate and its offal boiled in water with red chili powder, doenjang (soybean paste), and radish. When the soup comes to a boil, add water parsley, green onion, green pepper, and chopped garlic and ginger, bring to a boil again, and season with soy sauce. This soup has a unique tangy taste and fragrance.  ",,탕 [Tang],,
257,홍합탕,Mussel Soup,Boil a pot of water with radish and red and green pepper and then add mussels. Bring all ingredients to a boil together for a while. This hearty soup is prepared with mussels in the shell.,,탕 [Tang],,
258,갈치찌개,Cutlassfish Stew,"This spicy dish is made by cutting cutlassfish into pieces, boiling with zucchini, and seasoning with red chili powder, chopped garlic, and salt. The meat of the cutlass fish is soft, and the spicy broth is quite savory.",,찌개 [Jjigae],,
259,강된장,Seasoned Soybean Paste,"This is a thick sauce made with finely chopped beef, anchovies, minced garlic, green onion, green chili, sesame oil, and doenjang, all mixed with a small amount of rice water.Gangdoenjang is a summer delicacy served with ssam (wraps) and bibimbap.",,찌개 [Jjigae],,
260,고추장찌개,Red Chilli Paste Stew,"This is a meat and vegetable stew in water or anchovy stock and seasoned with gochujang. To this, bean curd or potatoes can then be added for variation.",,찌개 [Jjigae],,
261,김치찌개,Kimchi Stew,"A spicy stew made with sour kimchi, fatty pork, shellfish, and chunks of bean curd and green onion. It is served hot with steamed rice.",,찌개 [Jjigae],,
262,꽁치김치찌개,Saury and Kimchi Stew,"Over-fermented kimchi and garlic pan-fried in an oiled pot and boiled in broth. When the kimchi becomes soft, canned saury, chopped garlic and green onion, red chili powder, and green pepper are added. ",,찌개 [Jjigae],,
263,도루묵찌개,Spicy Sailfin Sandfish Stew,"This spicy dish is prepared by boiling sailfin sandfish, which tastes less fishy than most other fish, with sliced radish, onion, green pepper, and enokitake mushroom. The eggs of the sailfin sandfish release a unique flavor when they pop in the mouth.",,찌개 [Jjigae],,
264,동태찌개,Pollack Stew,"This spicy stew is made with pollack boiled with radish, crown daisy, and other vegetables, along with bean curd and is seasoned with red chili powder. Its spiciness makes it an ideal meal in thewinter. However, a non-spicy version canbe made without the red chili powder, depending upon one’s preference.",,찌개 [Jjigae],,
265,돼지갈비찌개,Pork Short Rib Stew,"Pork ribs, soaked in cold water to remove the blood, simmered with vegetables. The dish is seasoned with red chili pepper, green onion, garlic, and salted shrimp, making the broth thick and spicy.",,찌개 [Jjigae],,
266,돼지고기김치찌개,Pork and Kimchi Stew,"Over-fermented kimchi boiled with pork, bean curd, and green onion. Often considered Korean “soul food,” this spicy kimchi stew strikes a perfect balance with the greasy pork.",,찌개 [Jjigae],,
267,된장찌개,Soybean Paste Stew,"Doenjang-seasonedstew made with anchovy broth, fish or clams, and summer squash. The broth is thick and flavorful, and good for mixing with rice.",,찌개 [Jjigae],,
268,부대찌개,Sausage Stew,"A fusion dish made with ham, sausage, kimchi, pork, and bean curd.Everything is combined and cooked in a spicy broth. Ramen noodles are often added to the simmering stew.",,찌개 [Jjigae],,
269,생태찌개,Pollack Stew,"Spicy saengtae (fresh pollack) stew made with fresh pollack, bean curd, radish, crown daisy, and other vegetables and seasoned with red chili powder. This dish is characterized by its spicy broth and savory taste.",,찌개 [Jjigae],,
270,순두부찌개,Soft Bean Curd Stew,"Soft bean curd stew boiled with beef, clams, and vegetables.A raw egg may be added to the hot stew.Ranges from extra spicy to mild.",,찌개 [Jjigae],,
271,시래기된장지짐,Braised Dried Radish Leaf Soybean Paste,"Boiled dried siraegi (radish greens) mixed with doenjang (soybean paste), chopped garlic, and red chili powder and boiled in an anchovy-based broth. This is a country-style dish.",,찌개 [Jjigae],,
272,애호박찌개,Zucchini Stew,"A stew made by boiling braised beef, zucchini, red chili pepper, and thread scallions in water and seasoned with salted shrimp. The beef maybe replaced with clam or oyster.",,찌개 [Jjigae],,
273,양푼김치찌개,Kimchi Stew in Large Brass Bowl,"Kimchi simmered with pork, bean curd, and green onion in a large brass bowl. A brass pot can be used instead of a bowl.",,찌개 [Jjigae],,
274,오분자기뚝배기,Sea Snail Hot Pot,The sea snails (haliotis supertexta) are caught in the shallow waters of Jeju Island. The dish is made by boiling sea snails and a variety of other seafood in an earthenware pot. It tastes refreshingly spicy.,,찌개 [Jjigae],,
275,전복뚝배기,Abalone Hot Pot,"Fresh abalone, clam, squid, shrimp, conch, and other seafood boiled with vegetables and a doenjang (soybean paste) sauce in an earthen pot. Characterized by its deep-flavored broth, this dish is eaten widely across Jeju Island.",,찌개 [Jjigae],,
276,차돌된장찌개,Beef Brisket Soybean Paste Stew,"This is a stew made with doenjang and brisket,an off-white fatty cut of meat from thebreast or lower chest of the cow. The dish is characterized by the chewiness of the brisket and deep flavor of the doenjang.",,찌개 [Jjigae],,
277,참치김치찌개,Tuna and Kimchi Stew,"Over-fermented kimchi and garlic pan-fried in an oiled pot and boiled in broth. When the kimchi becomes soft, canned tuna, bean curd, chopped green onion, red chili powder, and green pepper are added. To give the stew a cleaner taste, be sure to drain the oil from the canned tuna. ",,찌개 [Jjigae],,
278,청국장찌개,Rich Soybean Paste Stew,"A thick stew made of beef, bean curd kimchi, and other ingredients in a broth seasoned withcheonggukjang (quick-fermented soybeans).",,찌개 [Jjigae],,
279,콩비지찌개,Pureed Soybean Stew,This dish consists of soaked and finely ground soybeans boiled with pan-fried pork and kimchi in water.Sauce is added before serving. Kongbijijjigae is especially popular among people from North Korea.,,찌개 [Jjigae],,
280,해물된장찌개,Seafood Soybean Paste Stew,"Soybean paste stew boiled with squid, baby clam, shrimp, and other seafood. The thick stew and various ingredients match perfectly with rice.",,찌개 [Jjigae],,
281,해물뚝배기,Seafood Hot Pot,"This dish is a stew made by boiling clams, shrimp, and other fresh seafood along with crown daisy, squash, and mushroom. It is seasoned with soybean sauce and served in an earthenware pot.",,찌개 [Jjigae],,
282,해물순두부찌개,Seafood and Soft Bean Curd Stew,"This stew is prepared by boiling squid, clam, shrimp, and other seafood with soft bean curd and vegetables. Egg or a spicy sauce may be added to suit one’s taste.",,찌개 [Jjigae],,
283,갈비찜,Braised Short Ribs,"Beef short ribs, trimmed of fat, seasoned in sweet soy sauce, and braised until tender with carrots, chestnuts, ginko nuts, and other vegetables.",,찜 [Jjim],,
284,계란찜,Steamed Eggs,"Similar to egg soufflé, this steamed egg dish is made with eggs well mixed with chopped mushroom, fishcake, and other ingredients, and seasoned with saeujeot (salted shrimp) or salt. Its soft texture and beautiful color are particularly appealing to children and the elderly.",,찜 [Jjim],,
285,굴보쌈,Kimchi Wraps with Pork and Oyster,Fresh oysters and steamed pork wrapped in salted Korean cabbage leaves with julienned radish seasoned with red chili powder. The meat may also be dipped in salted shrimp sauce and wrapped in cabbage or bossamkimchi.,,찜 [Jjim],,
286,꼬리찜,Braised Oxtail ,"For this dish, oxtail is cut into pieces, boiled, and marinated with soy sauce and then braised with radish, carrot, shiitake mushroom, and chestnuts. The well-marinated and braised oxtail meat is soft yet pleasantly chewy.",,찜 [Jjim],,
287,꽃게찜,Steamed Blue Crab,"Steamed seasoned blue crabs. The crabs can be cooked whole or in pieces. Depending on one's taste, the crabs are steamed with seasoned vegetables, such as radish, bean sprouts, and water parsley.",,찜 [Jjim],,
288,낙지찜,Braised Octopus,Octopus marinated in a sauce made with red chili powder and chopped garlic and then braised with bean sprouts. The sauce is also used to make a rice stir-fry.,,찜 [Jjim],,
289,누룽지닭백숙,Whole Chicken Soup with Scorched Rice ,"This dish features a whole chicken boiled in water with ginseng and jujubes with soaked glutinous rice on the bottom of the pot (which becomes scorched by the heat). Soaked in chicken soup, the scorched rice becomes incredibly chewy and delicious—it tastes even better than porridge made with glutinous rice.",,찜 [Jjim],,
290,닭백숙,Whole Chicken Soup,Whole chicken boiled with garlic and served with sea salt.Sweet rice is boiled in the leftover stock to make a thick rice congee. Ginseng and jujubes may be added for flavor.,,찜 [Jjim],,
291,대게찜,Steamed Snow Crab,"This dish is steamed crab meat removed from the shell and served with a vinegar sauce. When steaming snow crabs, turn the crabs upside down and be careful not to let the legs detach from the body. This helps keep the meat tasting as fresh as possible.",,찜 [Jjim],,
292,대구뽈찜,Braised Codfish Head,"This spicy dish is made by braising seasoned cod heads with bean sprouts, water parsley, and other vegetables. Cod head has a meaty and chewy texture.",,찜 [Jjim],,
293,대하찜,Steamed Prawn,"Gutted prawns slit open along the back, spread out flat, and stuffed with finely chopped mushrooms, red and green chili peppers, and water parsley with an egg garnish. The steamed dish is served with a vinegar-based gochujang (red chili paste) sauce or soy sauce.",,찜 [Jjim],,
294,더덕보쌈,Kimchi Wraps with Pork and Deodeok,"Known as deodeok in Korean, wild bellflower roots grow on mountains and in fields throughout the country. The young leaves are used as wraps, while the roots are used in herbal medicines as well as food. For this particular dish, well-ripened deodeok is cut into bite-sized pieces and wrapped in leaveswith boiled pork.",,찜 [Jjim],,
